[10:37:13.595] INFO  [THUNK ] === Xbox Kernel Replacement Layer initializing ===
[10:37:13.595] INFO  [THUNK ] Kernel version: 1.0.5849.1 (emulated)
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] ERROR [THUNK ] Unresolved kernel ordinal 0
[10:37:13.595] INFO  [THUNK ] Thunk table: 147/378 resolved, 231 unresolved
[10:37:13.595] WARN  [THUNK ] WARNING: 231 kernel imports are unresolved - game may crash!
[10:37:13.595] INFO  [THUNK ] === Xbox Kernel Replacement Layer ready ===
[10:37:13.595] INFO  [PATH  ] Path init: game=X:\gitrepos\XboxRecomps\xboxrecomp\games\Burnout 2 - Point of Impact, save=C:\Users\Daniel\AppData\Local\xboxrecomp
[10:37:13.829] INFO  [FILE  ] NtCreateFile: directory open of a device image, using its containing directory instead
[10:37:14.228] INFO  [HAL   ] HalReturnToFirmware: routine=2 (exiting)
